"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",30540,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",31688,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",33090,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",34782,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",34429,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",35779,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",36356,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",35848,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",36165,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",36561,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",36520,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",36638,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",36633,,
"AUS","Australia","AVERAGE","Average","1_3","Household wealth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",253279,,
"AUS","Australia","AVERAGE","Average","1_3","Household wealth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",251134,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",80.8,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",80.9,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",81.1,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",81.3,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",80.7,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",80.9,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",80.7,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",80.2,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",80.2,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",80.3,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",80.1,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",80,,
"AUS","Australia","AVERAGE","Average","2_1","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",79.8,,
"AUS","Australia","AVERAGE","Average","2_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",28.3,,
"AUS","Australia","AVERAGE","Average","2_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",43,,
"AUS","Australia","AVERAGE","Average","2_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",52,,
"AUS","Australia","AVERAGE","Average","2_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",62,,
"AUS","Australia","AVERAGE","Average","2_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",72.6,,
"AUS","Australia","AVERAGE","Average","2_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",77,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",73.7,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",74.3,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",75.1,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",75.5,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",74.9,,
